web-scraper-order,web-scraper-start-url,Title,Abstract
1641462603-87,https://www.schneier.com/page/54/,Cybersecurity During COVID-19,"One, employees are working from their home networks and sometimes from their home computers. These systems are more likely to be out of date, unpatched, and unprotected. They are more vulnerable to attack simply because they are less secure."
1641462606-92,https://www.schneier.com/page/53/,Global Surveillance in the Wake of COVID-19,"The most common form of surveillance implemented to battle the pandemic is the use of smartphone location data, which can track population-level movement down to enforcing individual quarantines. Some governments are making apps that offer coronavirus health information, while also sharing location information with authorities for a period of time. For instance, in early March, the Iranian government released an app that it pitched as a self-diagnostic tool. While the tool’s efficacy was likely low, given reports of asymptomatic carriers of the virus, the app saved location data of millions of Iranians, according to a Vice report."
1641462625-163,https://www.schneier.com/page/46/,Traffic Analysis of Home Security Cameras,null
1641462702-432,https://www.schneier.com/page/19/,AI Security Risk Assessment Tool,null
1641462724-516,https://www.schneier.com/page/11/,Cobalt Strike Vulnerability Affects Botnet Servers,"The main components of the security tool are the Cobalt Strike client — also known as a Beacon — and the Cobalt Strike team server, which sends commands to infected computers and receives the data they exfiltrate. An attacker starts by spinning up a machine running Team Server that has been configured to use specific “malleability” customizations, such as how often the client is to report to the server or specific data to periodically send."
1641462732-545,https://www.schneier.com/page/8/,FBI Had the REvil Decryption Key,"The key was obtained through access to the servers of the Russia-based criminal gang behind the July attack. Deploying it immediately could have helped the victims, including schools and hospitals, avoid what analysts estimate was millions of dollars in recovery costs."
1641462595-53,https://www.schneier.com/page/57/,Friday Squid Blogging: The Effect of Noise on Squid,null
1641462639-215,https://www.schneier.com/page/41/,Hacking AI-Graded Tests,null
1641462738-566,https://www.schneier.com/page/6/,Security Risks of Client-Side Scanning,null
1641462612-111,https://www.schneier.com/page/51/,AI and Cybersecurity,null
1641462614-122,https://www.schneier.com/page/50/,Bogus Security Technology: An Anti-5G USB Stick,"…its website, which describes it as a USB key that “provides protection for your home and family, thanks to the wearable holographic nano-layer catalyser, which can be worn or placed near to a smartphone or any other electrical, radiation or EMF [electromagnetic field] emitting device”."
1641462713-472,https://www.schneier.com/page/15/,Friday Squid Blogging: Colossal Squid Photographed off the Coast of Antarctica,null
1641462609-108,https://www.schneier.com/page/52/,How Did Facebook Beat a Federal Wiretap Demand?,Facebook Inc. in 2018 beat back federal prosecutors seeking to wiretap its encrypted Messenger app. Now the American Civil Liberties Union is seeking to find out how.
1641462713-479,https://www.schneier.com/page/15/,Peloton Vulnerability Found and Fixed,null
1641462625-167,https://www.schneier.com/page/46/,Friday Squid Blogging: Strawberry Squid,null
1641462656-276,https://www.schneier.com/page/35/,Inrupt’s Solid Announcement,"The idea behind Solid is both simple and extraordinarily powerful. Your data lives in a pod that is controlled by you. Data generated by your things — your computer, your phone, your IoT whatever — is written to your pod. You authorize granular access to that pod to whoever you want for whatever reason you want. Your data is no longer in a bazillion places on the Internet, controlled by you-have-no-idea-who. It’s yours. If you want your insurance company to have access to your fitness data, you grant it through your pod. If you want your friends to have access to your vacation photos, you grant it through your pod. If you want your thermostat to share data with your air conditioner, you give both of them access through your pod."
1641462595-60,https://www.schneier.com/page/57/,Humble Bundle's 2020 Cybersecurity Books,null
1641462741-573,https://www.schneier.com/page/5/,Hiding Vulnerabilities in Source Code,"We have discovered ways of manipulating the encoding of source code files so that human viewers and compilers see different logic. One particularly pernicious method uses Unicode directionality override characters to display code as an anagram of its true logic. We’ve verified that this attack works against C, C++, C#, JavaScript, Java, Rust, Go, and Python, and suspect that it will work against most other modern languages."
1641462735-560,https://www.schneier.com/page/7/,Tracking Stolen Cryptocurrencies,null
1641462683-375,https://www.schneier.com/page/25/,Friday Squid Blogging: Far Side Cartoon,null
1641462730-537,https://www.schneier.com/page/9/,Tracking People by their MAC Addresses,"Several of the headphones which could be tracked over time are for sale in electronics stores, but according to two of the manufacturers NRK have spoken to, these models are being phased out."
1641462699-421,https://www.schneier.com/page/20/,Friday Squid Blogging: On Squid Coloration,null
1641462598-63,https://www.schneier.com/page/56/,Emergency Surveillance During COVID-19 Crisis,"Thus, any data collection and digital monitoring of potential carriers of COVID-19 should take into consideration and commit to these principles:"
1641462670-324,https://www.schneier.com/page/30/,Russia’s SolarWinds Attack and Software Security,null
1641462653-263,https://www.schneier.com/page/36/,California Proposition 24 Passes,null
1641462617-140,https://www.schneier.com/page/49/,Password Changing After a Breach,"Abstract: To protect against misuse of passwords compromised in a breach, consumers should promptly change affected passwords and any similar passwords on other accounts. Ideally, affected companies should strongly encourage this behavior and have mechanisms in place to mitigate harm. In order to make recommendations to companies about how to help their users perform these and other security-enhancing actions after breaches, we must first have some understanding of the current effectiveness of companies’ post-breach practices. To study the effectiveness of password-related breach notifications and practices enforced after a breach, we examine­ — based on real-world password data from 249 participants­ — whether and how constructively participants changed their passwords after a breach announcement."
1641462675-347,https://www.schneier.com/page/28/,Dutch Insider Attack on COVID-19 Data,Dutch police have arrested two individuals on Friday for allegedly selling data from the Dutch health ministry’s COVID-19 systems on the criminal underground.
1641462741-572,https://www.schneier.com/page/5/,On Cell Phone Metadata,null
1641462636-206,https://www.schneier.com/page/42/,Friday Squid Blogging: Rhode Island's State Appetizer Is Calamari,null
1641462732-541,https://www.schneier.com/page/8/,Friday Squid Blogging: Person in Squid Suit Takes Dog for a Walk,null
